"Collision Report Number","Collision Date","County","City","Jurisdiction","Agency","Primary Trafficway","Secondary Trafficway","Block Number","Mile Post","School Zone","Intersection Related","Weather Condition","Lighting Condition","Injury Severity","Collision Type","Object Struck","Damage Threshold Met","Hit and Run","Motor Vehicles Involved","Passengers Involved","Commercial Carrier Involved","School Bus Involved","Pedestrians Involved","Pedalcyclists Involved"
"EA07399","1/12/2020 7:20:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKE SAMISH ROAD    ","","245.300","N","N","Clear","Dark-No Street Lights","No Injury Collision","","","Y","N","2","Y","Y","N","0","0"
"EA07399","1/12/2020 7:20:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKE SAMISH ROAD    ","","245.300","N","N","Clear","Dark-No Street Lights","No Injury Collision","","","N","N","2","Y","Y","N","0","0"
"EA04709","1/12/2020 10:48:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","N LAKE SAMISH       ","","246.020","N","N","Snowing","Dark-Street Lights On","Minor Injury Collision","","trees","Y","N","1","N","N","N","0","0"
"EA04883","1/13/2020 6:00:00 AM","Whatcom","Blaine","State Road","State Patrol","I 5                 ","LOOMIS TRAIL RD     ","","271.500","N","N","Clear","Dark-No Street Lights","No Injury Collision","","Earth Bank or Ledge","Y","N","1","N","N","N","0","0"
"EA04891","1/13/2020 6:06:00 AM","Whatcom","Blaine","State Road","State Patrol","NB I-5              ","LOOMIS TRAIL ROAD   ","","271.800","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","Earth Bank or Ledge","Y","N","1","N","Y","N","0","0"
"EA04893","1/13/2020 11:00:00 AM","Whatcom","Lynden","State Road","State Patrol","SR 546              ","LINE ROAD           ","","2.900","N","N","Overcast","Daylight","No Injury Collision","","Utility Pole","N","N","1","Y","N","N","0","0"
"EA04893","1/13/2020 11:00:00 AM","Whatcom","Lynden","State Road","State Patrol","SR 546              ","LINE ROAD           ","","2.900","N","N","Overcast","Daylight","No Injury Collision","","Utility Pole","Y","N","1","Y","N","N","0","0"
"EA18014","1/13/2020 10:56:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","SILVER LAKE ROAD    ","","30.250","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","","Y","N","1","N","N","N","0","0"
"EA04896","1/14/2020 8:17:00 AM","Whatcom","Bellingham","State Road","State Patrol","NB I-5              ","NORTHWEST AVE       ","","256.700","N","N","Snowing","Daylight","No Injury Collision","","Cable barrier post","Y","N","1","N","N","N","0","0"
"EA04896","1/14/2020 8:17:00 AM","Whatcom","Bellingham","State Road","State Patrol","NB I-5              ","NORTHWEST AVE       ","","256.700","N","N","Snowing","Daylight","No Injury Collision","","Cable barrier post","N","N","1","N","N","N","0","0"
"EA04711","1/14/2020 6:40:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","254.400","N","N","Snowing","Dark-Street Lights On","No Injury Collision","","concrete retaining wall","N","N","1","N","N","N","0","0"
"EA04711","1/14/2020 6:40:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","254.400","N","N","Snowing","Dark-Street Lights On","No Injury Collision","","concrete retaining wall","Y","N","1","N","N","N","0","0"
"EA06162","1/14/2020 7:20:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 11               ","","251.100","N","N","Snowing","Dark-Street Lights On","No Injury Collision","","ditch","Y","N","1","N","N","N","0","0"
"EA06163","1/14/2020 8:49:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 11               ","","247.870","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","Concrete/Jersey Barrier","Y","N","1","N","N","N","0","0"
"EA04897","1/15/2020 7:45:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 539              ","","256.000","N","Y","Clear","Daylight","No Injury Collision","","","N","N","2","N","N","N","0","0"
"EA04897","1/15/2020 7:45:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 539              ","","256.000","N","Y","Clear","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA04260","1/15/2020 8:45:00 AM","Whatcom","Bellingham","State Road","State Patrol","I5                  ","IOWA                ","","253.300","N","N","Overcast","Daylight","No Injury Collision","","SOUND WALL","Y","N","1","N","N","N","0","0"
"EA04260","1/15/2020 8:45:00 AM","Whatcom","Bellingham","State Road","State Patrol","I5                  ","IOWA                ","","253.300","N","N","Overcast","Daylight","No Injury Collision","","SOUND WALL","N","N","1","N","N","N","0","0"
"EA04895","1/15/2020 9:55:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","N. LAKE SAMISH ROAD ","","245.800","N","N","Clear","Daylight","No Injury Collision","","Ditch","Y","N","1","N","Y","N","0","0"
"EA06164","1/15/2020 7:34:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SAMISH WAY          ","","252.200","N","N","Snowing","Dark-Street Lights On","No Injury Collision","","cable barrier","Y","N","1","N","N","N","0","0"
"EA06184","1/15/2020 8:00:00 PM","Whatcom","Blaine","State Road","State Patrol","I 5                 ","REST AREA           ","","267.700","N","N","Clear","Dark-No Street Lights","Minor Injury Collision","","Tree or Stump","Y","N","1","N","N","N","0","0"
"EA04261","1/15/2020 9:14:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 11               ","","250.100","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","Guardrail","Y","N","1","Y","N","N","0","0"
"EA04712","1/15/2020 10:00:00 PM","Whatcom","Nooksack","State Road","State Patrol","SR 9                ","DORAN RD            ","","68.900","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","embankment","Y","N","1","N","N","N","0","0"
"EA04894","1/16/2020 5:15:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","LARSON RD           ","","3.000","N","N","Clear","Dark-Street Lights On","No Injury Collision","","Mailbox","Y","N","1","N","N","N","0","0"
"EA07469","1/16/2020 5:37:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","MERDIAN ST          ","","256.000","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","CABLE BARRIER","Y","N","1","N","N","N","0","0"
"EA06188","1/17/2020 6:49:00 AM","Whatcom","Bellingham","State Road","State Patrol","I5                  ","SAMISH WAY          ","","252.200","N","N","Overcast","Dark-Street Lights On","No Injury Collision","","CABLE BARRIER","Y","N","1","N","N","N","0","0"
"EA04898","1/17/2020 7:00:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SAMISH WAY          ","","252.000","N","Y","Clear","Dark-No Street Lights","No Injury Collision","","Concrete Jersey Barrier","Y","N","1","N","N","N","0","0"
"EA11873","1/18/2020 4:30:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","EASTWOOD RD         ","","22.000","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","DOT SIGN","Y","N","1","N","N","N","0","0"
"EA04899","1/18/2020 7:22:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","SR 548              ","","266.000","N","N","Clear","Dawn","No Injury Collision","","Earth Bank or Ledge","Y","N","1","N","N","N","0","0"
"EA04900","1/18/2020 8:08:00 AM","Whatcom","Blaine","State Road","State Patrol","I 5                 ","BIRCHBAY LYNDEN ROAD","","270.000","N","N","Clear","Daylight","No Injury Collision","","Bushes","Y","N","1","Y","N","N","0","0"
"EA07468","1/20/2020 6:00:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","MCLEOD ROAD         ","","256.400","N","N","Overcast","Dark-Street Lights On","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA06183","1/21/2020 9:28:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","OHIO ST             ","","253.900","N","N","Overcast","Daylight","No Injury Collision","","","Y","N","2","N","Y","N","0","0"
"EA07467","1/21/2020 5:15:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","NULLE ROAD          ","","244.200","N","N","Raining","Dark-No Street Lights","No Injury Collision","","","N","N","2","N","N","N","0","0"
"EA06186","1/22/2020 8:10:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","BAKERVIEW ROAD      ","","257.700","N","N","Clear","Daylight","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA06187","1/22/2020 2:35:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","E. LAUREL ROAD      ","","5.100","N","N","Raining","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA07470","1/22/2020 3:55:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 544              ","SR 539              ","332   ","","N","N","Raining","Daylight","No Injury Collision","","barbed wire fencing / bushes","Y","N","1","N","N","N","0","0"
"EA07471","1/22/2020 6:09:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKEWAY DRIVE       ","","253.100","N","N","Raining","Dark-Street Lights On","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
